average_rating,budget,runtime_minutes,release_year,gross,num_votes
7,75000000,127,1994,183031272,116892
6.5,30000000,83,1994,51132598,109611
7.2,34000000,119,1994,50283563,246617
8.9,8000000,154,1994,213928762,2160463
6.6,11500000,99,1994,33351557,52717
5.4,40000000,95,1994,38087756,72205
6.5,22000000,97,1994,190539357,126968
7.3,2500000,89,1994,2079569,65075
9.3,25000000,142,1994,28884716,2817283
5.6,45000000,110,1994,170362582,68821
7.3,30000000,116,1994,350448145,383702
6.6,35000000,118,1994,118071125,85822
7,55000000,116,1994,196567262,200994
4,35000000,102,1994,99431786,74256
5.9,27000000,99,1994,101646581,62760
7.3,115000000,141,1994,378882411,274856
6.4,8000000,112,1994,19721741,62994
6.3,70000000,125,1994,131002597,59375
6.7,63000000,191,1994,25052000,53926
6.4,30000000,90,1995,212385533,228996
6.8,62000000,114,1995,107879496,59762
7.7,52000000,140,1995,355237933,308771
6.3,50000000,133,1995,30303072,86898
6.9,30000000,91,1995,254134910,131718
6.8,19000000,119,1995,141407024,280217
7.3,2000000,102,1995,2402438,118381
5.4,100000000,121,1995,336567158,263045
8.1,2500000,101,1995,5987386,330033
6.3,10000000,89,1995,26488734,153264
8.3,72000000,178,1995,213216216,1073146
7.6,24000000,135,1995,182016617,86840
8.2,52000000,178,1995,116112375,549438
6.2,55000000,100,1995,287928194,144554
7.5,18000000,112,1995,1781750,70839
6.9,12000000,97,1995,56631794,237469
6.6,20000000,123,1995,32051917,64161
7.3,53000000,116,1995,157387195,120531
6.5,23000000,99,1995,179519401,55993
7.5,9000000,121,1995,1085079,101567
7.5,11000000,122,1995,39363635,100008
7.1,7000000,104,1995,25405445,194217
7.6,90000000,128,1995,366101666,401030
6.7,25000000,97,1994,68792531,52691
6,55000000,134,1995,127600435,77198
6.7,4000000,98,1995,4257354,109389
6.6,40000000,111,1995,101982854,52167
7.2,3500000,91,1995,28215918,121650
6.9,30250000,105,1995,115101622,87501
7.2,60000000,130,1995,352194034,266593
6.9,18000000,78,1995,35348597,60784
6.2,20000000,105,1995,7563728,73140
8.3,60000000,170,1995,187436818,698491
7.1,8000000,95,1994,8924549,76945
5.6,26000000,103,1995,19075720,75206
7.1,65000000,104,1995,262821940,366864
7,1500000,91,1995,7412216,83052
7.5,3600000,111,1995,32029928,131646
7,8000000,94,1995,2122561,127264
5.8,18000000,101,1995,122195920,122989
6,22000000,114,1995,110627965,72436
6.6,50000000,127,1995,189859560,135375
6.7,55000000,81,1995,346079773,198709
6.5,32000000,108,1995,18636537,100387
8.6,33000000,127,1995,327333559,1747022
7.7,16000000,136,1995,134582776,122655
5,45000000,128,1995,20358624,72624
5.9,35000000,108,1995,113374103,83878
7.2,42000000,145,1995,7959291,76753
6.8,20000000,106,1995,21284514,51481
7.1,20000000,97,1995,32679899,94885
8.3,30000000,81,1995,394436586,1043959
8.1,14000000,170,1995,171082,60364
6.3,175000000,135,1995,264218220,206057
6.8,17000000,103,1995,182057016,110228
5.7,75000000,103,1996,320689294,115734
6.8,12000000,81,1996,63118386,59768
7.2,31000000,117,1996,185260553,97342
7.3,4500000,109,1996,3802260,59403
6.1,50000000,108,1996,150270147,103575
5.6,50000000,107,1996,60209334,55232
6.6,46000000,116,1996,100860818,58400
6.4,15000000,101,1996,24819936,104750
6.4,9000000,100,1996,2671855,64869
5.9,80000000,114,1996,159212469,75660
6.5,3800000,89,1996,20949601,60105
6.4,57000000,103,1996,115267375,100673
7.4,27000000,162,1996,231976425,197248
6.2,100000000,115,1996,242295562,116738
5.7,50000000,101,1996,25477365,78878
6.5,55000000,133,1996,121969216,60561
5.9,55000000,116,1996,18626419,50632
8.1,7000000,98,1996,60611975,706949
6.4,26000000,103,1996,181489203,52892
7.1,30000000,110,1996,29359216,94019
7.2,19000000,108,1996,25837111,332998
6.8,55000000,110,1996,38619405,64953
7,12000000,92,1996,41205099,241485
7,100000000,91,1996,325338851,167833
7,75000000,145,1996,817400891,596490
5.8,45000000,113,1996,58620973,62954
6.7,38000000,79,1996,28946127,72714
7.3,50000000,139,1996,273552592,281319
5.7,60000000,89,1996,129832389,110632
6.9,27000000,114,1996,25023434,89386
6.4,67000000,101,1996,47267001,60296
6.8,65000000,121,1996,89456761,83667
7.6,15000000,134,1997,3836807,150138
6.4,70000000,106,1996,101381197,239130
7,36000000,98,1996,33459416,169200
7.2,80000000,110,1996,457696391,460380
5.7,54000000,95,1996,273961019,121901
7.3,36000000,130,1996,20300385,99280
6.4,32000000,123,1996,152036382,82479
6.7,80000000,121,1996,309492681,133318
7.4,75000000,136,1996,335062621,352392
6.7,14500000,120,1996,147554998,239975
7.4,14000000,111,1996,173046663,379232
7.5,44000000,147,1996,165615285,233728
8,1000000,135,1996,24444121,97389
6.5,80000000,88,1996,230594962,208764
7.6,45000000,111,1996,146027888,130469
7.2,200000,96,1996,4555020,86711
7,26000000,108,1996,34585416,72446
6.4,45000000,135,1996,53854588,52533
6.5,92000000,113,1996,494580615,207769
6.7,50000000,121,1997,50068310,58909
6.5,85000000,124,1997,315156409,206337
6.2,75000000,109,1997,161376069,258726
7.3,36000000,155,1997,44229441,81438
4.9,45000000,89,1997,136885767,109832
7.1,50000000,94,1997,139804348,132638
7,16500000,94,1997,67711748,252421
6.5,18000000,89,1997,251212670,109420
8.1,15000000,117,1998,47010480,842874
7.9,15000000,155,1997,43117303,277235
7,36000000,93,1997,50159144,59766
7.4,1500000,110,1998,2375718,58310
8.6,20000000,116,1997,230099013,726881
7.2,250000,113,1997,12021272,142298
6.9,75000000,115,1997,224012234,313188
6.7,75000000,135,1997,136982834,105380
